"Id","Severity","Title","Mitre","Why","Artifact","Module"
"DGL-000","MEDIUM","Operating system installed less than 7 days ago","","An unexpected reinstall may indicate evidence was wiped","01_system","System Information"
"DGL-001","CRITICAL","Service binary in a suspicious directory","T1543.003","Legitimate services run from System32 or Program Files","05_services","Services"
"DGL-002","MEDIUM","System unpatched for 90+ days","T1190","An unpatched system is exposed to known exploits - a common initial access vector","01_hotfixes","Hotfix / Patch Status"
"DGL-014","CRITICAL","Event log may have been cleared","T1070.001","Log capacity is large and not full, yet no historical records exist. This is deletion, not rollover.","11_log_health","Event Log Health"
"DGL-015","HIGH","Critical event log channel disabled","T1562.002","An attacker may have disabled visibility","11_log_health","Event Log Health"
"DGL-016","INFO","Requested time window exceeds log retention","","The effective analysis window is shorter than requested - account for this when scoping","11_log_health","Event Log Health"
"DGL-017","MEDIUM","Sysmon is not installed","","Process/network/pipe visibility is severely limited - hunting depth is reduced","11_log_health","Event Log Health"
"DGL-018","INFO","Event collection limit reached - data truncated","","Narrow the analysis window or raise -MaxEventsPerChannel","11_event_stats","Drivers"
"DGL-019","INFO","File scan limit reached","","Narrow the analysis window","13_recent_files","File System Scan"
"DGL-020","MEDIUM","Account password changed within the analysis window","T1098","If the account was compromised, the attacker may have changed the password","02_local_users","Users and Groups"
"DGL-021","HIGH","Enabled account requires no password","T1078.003","An enabled passwordless account grants direct access","02_local_users","Users and Groups"
"DGL-022","(varies)","Built-in account is enabled","T1078.001","Guest and the built-in Administrator should normally be disabled","02_local_users","Users and Groups"
"DGL-023","HIGH","New user profile created within the analysis window","T1136.001","Account creation is a common persistence technique","02_user_profiles","Users and Groups"
"DGL-024","MEDIUM","Large membership in local Administrators group","T1078","Broad admin membership expands the lateral movement surface","02_group_members","Users and Groups"
"DGL-030","CRITICAL","Autorun executes from a suspicious directory","T1547","Legitimate autorun entries live under System32 or Program Files","","Event Log Health"
"DGL-031","HIGH","Autorun points to an unsigned binary","T1547","Unsigned persistent startup entry","","Event Log Health"
